position_id,signal_date,detected_at_wit,status,arah,lot,prediction,reference_price,expected_change_pct,threshold_entry_pct,tp_usd,cl_usd,entry_time_wit,entry_price,last_swap_date,exit_time_wit,exit_price,exit_reason,gross_pl,swap,net_pl,protection_mode,active_sl_price,peak_floating_usd,break_even_activated,trailing_activated,atr_m15,protection_updated_wit,last_update_wit,catatan
1,2026-07-16,2026-07-16 13:15:09 WIT,CLOSED,SELL,0.01,4039.199951171875,4039.199951171875,-0.7152888751318254,0.15,25.0,10.0,2026-07-16 13:15:09 WIT,4039.199951171875,2026-07-17,2026-07-17 13:25:37 WIT,4014.199951171875,TP tersentuh,25.0,0.0,25.0,,,,,,,,2026-07-17 13:25:37 WIT,Posisi dibuka dari sinyal Checklist 3/3: seluruh syarat strategi terpenuhi.
2,2026-07-17,2026-07-17 13:25:37 WIT,CLOSED,SELL,0.01,3933.217851911272,3992.5,-1.4848377730426463,0.15,25.0,10.0,2026-07-17 13:25:37 WIT,3992.5,2026-07-20,2026-07-20 07:51:56 WIT,4002.5,CL tersentuh,-10.0,0.0,-10.0,,,,,,,,2026-07-20 07:51:56 WIT,Posisi dibuka dari sinyal Optimizer penuh: seluruh syarat strategi terpenuhi.
3,2026-07-19,2026-07-20 07:51:56 WIT,CLOSED,SELL,0.01,3945.217939104353,4002.10009765625,-1.421307742532707,0.15,25.0,10.0,2026-07-20 07:51:56 WIT,4002.10009765625,2026-07-20,2026-07-20 12:21:02 WIT,4012.10009765625,CL tersentuh,-10.0,0.0,-10.0,,,,,,,,2026-07-20 12:21:02 WIT,Posisi dibuka dari sinyal Optimizer penuh: seluruh syarat strategi terpenuhi.
4,2026-07-20,2026-07-20 15:32:51 WIT,CLOSED,SELL,0.01,3953.408918108259,4012.0,-1.460395859714381,0.15,25.0,10.0,2026-07-20 15:32:51 WIT,4012.0,2026-07-22,2026-07-22 07:36:28 WIT,4022.0,CL tersentuh,-10.0,0.0,-10.0,,,,,,,,2026-07-22 07:36:28 WIT,Posisi dibuka dari sinyal Optimizer penuh: seluruh syarat strategi terpenuhi.
5,RECOVERY-5,2026-07-24 15:59:00 WIT,CLOSED,SELL,0.01,,4029.0,,0.15,25.0,10.0,2026-07-24 15:59:00 WIT,4029.0,2026-07-24,2026-07-24 18:54:40 WIT,4039.0,CL tersentuh,-10.0,0.0,-10.0,,,,,,,,2026-07-24 18:54:40 WIT,Dipulihkan dari observasi pengguna. Harga entry dan status asli; timestamp rekonstruksi karena waktu entry asli tidak tersimpan.
6,RECOVERY-6,2026-07-24 15:59:30 WIT,CLOSED,SELL,0.01,,4032.0,,0.15,25.0,10.0,2026-07-24 15:59:30 WIT,4032.0,2026-07-24,2026-07-24 18:54:40 WIT,4042.0,CL tersentuh,-10.0,0.0,-10.0,,,,,,,,2026-07-24 18:54:40 WIT,Dipulihkan dari observasi pengguna. Harga entry dan status asli; timestamp rekonstruksi karena waktu entry asli tidak tersimpan.
7,2026-07-29,2026-08-05 09:43:55 WIT,CLOSED,SELL,0.01,3990.3749564034597,4034.699951171875,-1.098594574685563,0.15,25.0,10.0,2026-08-05 09:43:55 WIT,4080.7,2026-08-05,2026-08-05 10:43:25 WIT,4091.91,CL tersentuh,-11.210000000000036,0.0,-11.210000000000036,,,,,,,,2026-08-05 10:43:25 WIT,Posisi dibuka dari sinyal Optimizer penuh: seluruh syarat strategi terpenuhi.
8,2026-08-17,2026-08-18 07:23:01 WIT,CLOSED,BUY,0.01,4532.425144740513,4473.10009765625,1.326262453088134,0.15,25.0,10.0,2026-08-18 07:23:01 WIT,4473.10009765625,2026-08-18,2026-08-18 07:50:42 WIT,4463.10009765625,CL tersentuh,-10.0,0.0,-10.0,,,0.0,0.0,0.0,,,2026-08-18 07:50:42 WIT,Posisi dibuka dari sinyal Optimizer penuh: seluruh syarat strategi terpenuhi.
9,2026-08-18,2026-08-19 07:22:26 WIT,CLOSED,BUY,0.01,4450.4964730399,4389.5,1.3895995680578643,0.15,25.0,10.0,2026-08-19 07:22:26 WIT,4389.5,2026-08-19,2026-08-19 07:50:51 WIT,4414.5,TP tersentuh,25.0,0.0,25.0,,,0.0,0.0,0.0,,,2026-08-19 07:50:51 WIT,Posisi dibuka dari sinyal Optimizer penuh: seluruh syarat strategi terpenuhi.
10,2026-08-12,2026-08-12 21:39:11 WIT,CLOSED,BUY,0.01,4517.762534005301,4465.0,1.1816916910481812,0.15,25.0,10.0,2026-08-12 21:39:11 WIT,4421.26,2026-08-13,2026-08-13 11:06:36 WIT,4408.92,CL tersentuh,-12.340000000000146,-0.02,-12.360000000000145,,,,,,,,2026-08-13 11:06:36 WIT,Posisi dibuka dari sinyal Optimizer penuh: seluruh syarat strategi terpenuhi.
