forecast_date_wit,target_date_wit,forecast_timestamp_wit,model,reference_price,estimate_tomorrow,estimate_lower,estimate_upper,signal,confidence,actual_timestamp_0800,actual_open_0800,actual_source_0800,delta_0800,delta_pct_0800,actual_direction_0800,direction_correct_0800,actual_timestamp_0900,actual_open_0900,actual_source_0900,delta_0900,delta_pct_0900,actual_direction_0900,direction_correct_0900,actual_timestamp_1000,actual_open_1000,actual_source_1000,delta_1000,delta_pct_1000,actual_direction_1000,direction_correct_1000,actual_timestamp_1100,actual_open_1100,actual_source_1100,delta_1100,delta_pct_1100,actual_direction_1100,direction_correct_1100,actual_timestamp_1200,actual_open_1200,actual_source_1200,delta_1200,delta_pct_1200,actual_direction_1200,direction_correct_1200,estimated_direction,status,notes
2026-09-01,2026-09-02,2026-09-01T05:25:40+09:00,Model 2 - Lintas Pasar,4489.2998046875,4476.843705944754,4337.819008263616,4615.868403625893,Netral,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turun,"Menunggu aktual 08:00, 09:00, 10:00, 11:00, 12:00 WIT","Candle intraday 08:00, 09:00, 10:00, 11:00, 12:00 WIT belum tersedia."
2026-08-31,2026-09-01,2026-08-31T03:12:46+09:00,Model 2 - Lintas Pasar,4529.89990234375,4562.5412113314205,4424.166735601406,4700.915687061435,Netral,20.0,2026-09-01T08:00:00+09:00,4495.7998046875,GC=F 5m intraday open dari Yahoo Finance,-66.74140664392053,-1.4628121380725974,Turun,False,2026-09-01T09:00:00+09:00,4501.2998046875,GC=F 5m intraday open dari Yahoo Finance,-61.24140664392053,-1.3422652817211338,Turun,False,2026-09-01T10:00:00+09:00,4502.60009765625,GC=F 5m intraday open dari Yahoo Finance,-59.94111367517053,-1.3137659672268205,Turun,False,2026-09-01T11:00:00+09:00,4492.89990234375,GC=F 5m intraday open dari Yahoo Finance,-69.64130898767053,-1.526371067393561,Turun,False,2026-09-01T12:55:00+09:00,4489.60009765625,GC=F 5m intraday open dari Yahoo Finance,-72.94111367517053,-1.598694900421188,Turun,False,Naik,Selesai,"Aktual diisi dari candle intraday terdekat pada/setelah 08:00, 09:00, 10:00, 11:00, 12:00 WIT."
2026-08-29,2026-08-30,2026-08-29T08:43:33+09:00,Model 2 - Lintas Pasar,4633.60009765625,4637.529182393732,4500.340242419338,4774.718122368126,Netral,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Naik,Libur market / non-trading day,Tidak ada pengujian aktual karena target jatuh pada akhir pekan atau hari libur pasar.
2026-08-28,2026-08-29,2026-08-28T09:07:26+09:00,Model 2 - Lintas Pasar,4661.2001953125,4673.843709295641,4524.29704274834,4823.390375842942,Netral,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Naik,Libur market / non-trading day,Tidak ada pengujian aktual karena target jatuh pada akhir pekan atau hari libur pasar.
2026-08-26,2026-08-27,2026-08-27T01:06:44+09:00,Model 2 - Lintas Pasar,4715.89990234375,4709.884897455919,4557.682586122902,4862.087208788936,Netral,20.0,2026-08-27T08:00:00+09:00,4663.2001953125,GC=F 5m intraday open dari Yahoo Finance,-46.68470214341869,-0.99120685876285,Turun,True,2026-08-27T09:00:00+09:00,4677.7001953125,GC=F 5m intraday open dari Yahoo Finance,-32.18470214341869,-0.6833437089047231,Turun,True,2026-08-27T10:00:00+09:00,4659.2998046875,GC=F 5m intraday open dari Yahoo Finance,-50.58509276841869,-1.074019723831099,Turun,True,2026-08-27T13:00:00+09:00,4679.7001953125,GC=F 5m intraday open dari Yahoo Finance,-30.18470214341869,-0.6408798261656712,Turun,True,2026-08-27T13:00:00+09:00,4679.7001953125,GC=F 5m intraday open dari Yahoo Finance,-30.18470214341869,-0.6408798261656712,Turun,True,Turun,Selesai,"Aktual diisi dari candle intraday terdekat pada/setelah 08:00, 09:00, 10:00, 11:00, 12:00 WIT."
2026-08-25,2026-08-26,2026-08-26T00:30:02+09:00,Model 2 - Lintas Pasar,4710.0,4698.917592857382,4549.868320539123,4847.966865175642,Netral,20.0,2026-08-26T08:00:00+09:00,4730.60009765625,GC=F 5m intraday open dari Yahoo Finance,31.68250479886774,0.6742511264089185,Naik,False,2026-08-26T09:00:00+09:00,4711.7998046875,GC=F 5m intraday open dari Yahoo Finance,12.88221183011774,0.2741527506185557,Naik,False,2026-08-26T10:00:00+09:00,4693.2001953125,GC=F 5m intraday open dari Yahoo Finance,-5.71739754488226,-0.1216747779014687,Turun,True,2026-08-26T11:00:00+09:00,4714.5,GC=F 5m intraday open dari Yahoo Finance,15.58240714261774,0.3316169486841793,Naik,False,2026-08-26T12:00:00+09:00,4714.2998046875,GC=F 5m intraday open dari Yahoo Finance,15.38221183011774,0.3273564927697298,Naik,False,Turun,Selesai,"Aktual diisi dari candle intraday terdekat pada/setelah 08:00, 09:00, 10:00, 11:00, 12:00 WIT."
2026-08-24,2026-08-25,2026-08-25T00:25:49+09:00,Model 2 - Lintas Pasar,4680.60009765625,4729.604509508466,4579.962602606066,4879.246416410867,Netral,20.0,2026-08-25T08:00:00+09:00,4724.60009765625,GC=F 5m intraday open dari Yahoo Finance,-5.004411852216435,-0.1058103662188982,Naik,True,2026-08-25T09:00:00+09:00,4737.2998046875,GC=F 5m intraday open dari Yahoo Finance,7.695295179033565,0.162704834274469,Naik,True,2026-08-25T10:00:00+09:00,4740.7998046875,GC=F 5m intraday open dari Yahoo Finance,11.195295179033565,0.2367067934861441,Naik,True,2026-08-25T11:00:00+09:00,4714.5,GC=F 5m intraday open dari Yahoo Finance,-15.104509508466435,-0.3193609418736832,Naik,True,2026-08-25T12:00:00+09:00,4685.7001953125,GC=F 5m intraday open dari Yahoo Finance,-43.90431419596644,-0.9282872195275642,Naik,True,Naik,Selesai,"Aktual diisi dari candle intraday terdekat pada/setelah 08:00, 09:00, 10:00, 11:00, 12:00 WIT."
2026-08-23,2026-08-24,2026-08-24T00:09:11+09:00,Model 2 - Lintas Pasar,4661.60009765625,4697.535585746465,4546.636123621505,4848.435047871424,Netral,20.0,2026-08-24T08:00:00+09:00,4663.5,GC=F 5m intraday open dari Yahoo Finance,-34.03558574646468,-0.7245413073556574,Naik,True,2026-08-24T09:00:00+09:00,4681.60009765625,GC=F 5m intraday open dari Yahoo Finance,-15.935488090214676,-0.3392308115465279,Naik,True,2026-08-24T10:00:00+09:00,4679.0,GC=F 5m intraday open dari Yahoo Finance,-18.53558574646468,-0.3945810608163657,Naik,True,2026-08-24T11:00:00+09:00,4688.39990234375,GC=F 5m intraday open dari Yahoo Finance,-9.135683402714676,-0.1944782159912678,Naik,True,2026-08-24T12:00:00+09:00,4700.39990234375,GC=F 5m intraday open dari Yahoo Finance,2.864316597285324,0.0609748781036677,Naik,True,Naik,Selesai,"Aktual diisi dari candle intraday terdekat pada/setelah 08:00, 09:00, 10:00, 11:00, 12:00 WIT."
2026-08-21,2026-08-22,2026-08-22T00:19:08+09:00,Model 2 - Lintas Pasar,4575.10009765625,4545.553009571352,4399.511135702287,4691.594883440417,Netral,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turun,Libur market / non-trading day,Tidak ada pengujian aktual karena target jatuh pada akhir pekan atau hari libur pasar.
2026-08-20,2026-08-21,2026-08-21T00:20:53+09:00,Model 2 - Lintas Pasar,4580.7001953125,4562.718468474981,4414.1814131070805,4711.255523842881,Netral,20.0,2026-08-21T08:00:00+09:00,4579.89990234375,GC=F 5m intraday open dari Yahoo Finance,17.18143386876909,0.3765613413906671,Turun,True,2026-08-21T09:00:00+09:00,4582.2998046875,GC=F 5m intraday open dari Yahoo Finance,19.58133621251909,0.4291594221254649,Naik,False,2026-08-21T10:00:00+09:00,4567.2001953125,GC=F 5m intraday open dari Yahoo Finance,4.481726837519091,0.0982249259621104,Turun,True,2026-08-21T11:00:00+09:00,4586.7001953125,GC=F 5m intraday open dari Yahoo Finance,23.98172683751909,0.5256017219386893,Naik,False,2026-08-21T12:00:00+09:00,4590.0,GC=F 5m intraday open dari Yahoo Finance,27.28153152501909,0.5979227452562403,Naik,False,Turun,Selesai,"Aktual diisi dari candle intraday terdekat pada/setelah 08:00, 09:00, 10:00, 11:00, 12:00 WIT."
