Jam WIT,Frekuensi High,Frekuensi Low,Persentase High (%),Persentase Low (%)
0,28,13,7.2727272727272725,3.3766233766233764
1,18,10,4.675324675324675,2.5974025974025974
2,15,15,3.896103896103896,3.896103896103896
3,10,10,2.5974025974025974,2.5974025974025974
4,51,23,13.246753246753245,5.974025974025974
5,0,0,0.0,0.0
6,0,0,0.0,0.0
7,48,72,12.467532467532468,18.7012987012987
8,12,15,3.116883116883117,3.896103896103896
9,33,33,8.571428571428571,8.571428571428571
10,16,20,4.1558441558441555,5.194805194805195
11,11,15,2.857142857142857,3.896103896103896
12,3,8,0.7792207792207793,2.0779220779220777
13,5,10,1.2987012987012987,2.5974025974025974
14,12,9,3.116883116883117,2.3376623376623376
15,8,11,2.0779220779220777,2.857142857142857
16,8,11,2.0779220779220777,2.857142857142857
17,9,9,2.3376623376623376,2.3376623376623376
18,11,9,2.857142857142857,2.3376623376623376
19,6,3,1.5584415584415585,0.7792207792207793
20,10,7,2.5974025974025974,1.8181818181818181
21,13,17,3.3766233766233764,4.415584415584416
22,23,29,5.974025974025974,7.532467532467532
23,35,36,9.090909090909092,9.35064935064935
