Tanggal sesi,Open +1 Jam (08 WIT),Status Open +1,Close -1 Jam (04 WIT),Status Close -1,High,Jam High WIT,Waktu High pertama WIT,Jumlah kemunculan High,Low,Jam Low WIT,Waktu Low pertama WIT,Jumlah kemunculan Low,Jumlah candle M1,Cakupan sesi (%)
2025-01-02,2623.78,Tersedia,2654.75,Tersedia,2660.46,4,2025-01-03 04:28:00+09:00,1,2621.48,7,2025-01-02 07:45:00+09:00,1,1320,100.0
2025-01-03,2658.44,Tersedia,2639.4,Tersedia,2665.15,11,2025-01-03 11:27:00+09:00,1,2636.89,4,2025-01-04 04:54:00+09:00,1,1320,100.0
2025-01-06,2641.05,Tersedia,2634.38,Tersedia,2649.45,19,2025-01-06 19:44:00+09:00,1,2614.45,22,2025-01-06 22:18:00+09:00,1,1320,100.0
2025-01-07,2634.7,Tersedia,2649.22,Tersedia,2664.33,21,2025-01-07 21:58:00+09:00,1,2632.98,8,2025-01-07 08:29:00+09:00,2,1085,82.1969696969697
2025-01-08,2649.69,Tersedia,2658.41,Tersedia,2670.0,0,2025-01-09 00:58:00+09:00,1,2645.25,12,2025-01-08 12:53:00+09:00,1,1320,100.0
2025-01-09,2662.59,Tersedia,2670.11,Tersedia,2678.23,21,2025-01-09 21:37:00+09:00,1,2655.51,12,2025-01-09 12:37:00+09:00,1,1320,100.0
2025-01-10,2669.8,Tersedia,2685.72,Tersedia,2698.01,23,2025-01-10 23:36:00+09:00,2,2663.96,21,2025-01-10 21:34:00+09:00,1,1320,100.0
2025-01-13,2691.16,Tersedia,2658.95,Tersedia,2693.27,8,2025-01-13 08:12:00+09:00,1,2656.84,3,2025-01-14 03:07:00+09:00,1,1320,100.0
2025-01-14,2668.09,Tersedia,2674.32,Tersedia,2676.58,4,2025-01-15 04:59:00+09:00,1,2659.86,22,2025-01-14 22:12:00+09:00,1,1320,100.0
2025-01-15,2675.61,Tersedia,2694.15,Tersedia,2696.51,4,2025-01-16 04:59:00+09:00,1,2669.39,10,2025-01-15 10:00:00+09:00,1,1320,100.0
2025-01-16,2694.95,Tersedia,2715.19,Tersedia,2724.76,1,2025-01-17 01:38:00+09:00,1,2690.03,14,2025-01-16 14:20:00+09:00,1,1320,100.0
2025-01-17,2714.69,Tersedia,2703.17,Tersedia,2717.38,11,2025-01-17 11:08:00+09:00,1,2699.8,4,2025-01-18 04:04:00+09:00,1,1320,100.0
2025-01-20,2696.48,Tersedia,,Tidak tersedia,2713.76,14,2025-01-20 14:53:00+09:00,1,2689.26,9,2025-01-20 09:08:00+09:00,1,1230,93.18181818181817
2025-01-21,2710.45,Tersedia,2742.64,Tersedia,2746.02,2,2025-01-22 02:42:00+09:00,1,2702.81,9,2025-01-21 09:00:00+09:00,1,1320,100.0
2025-01-22,2744.38,Tersedia,2755.24,Tersedia,2763.45,18,2025-01-22 18:36:00+09:00,1,2741.1,7,2025-01-22 07:00:00+09:00,1,1320,100.0
2025-01-23,2755.42,Tersedia,2754.06,Tersedia,2758.92,1,2025-01-24 01:45:00+09:00,1,2735.58,21,2025-01-23 21:41:00+09:00,1,1320,100.0
2025-01-24,2754.65,Tersedia,2774.66,Tersedia,2785.94,23,2025-01-24 23:36:00+09:00,1,2753.49,7,2025-01-24 07:07:00+09:00,1,1320,100.0
2025-01-27,2767.18,Tersedia,2739.41,Tersedia,2772.53,9,2025-01-27 09:05:00+09:00,1,2730.48,1,2025-01-28 01:12:00+09:00,1,1320,100.0
2025-01-28,2741.76,Tersedia,2764.9,Tersedia,2765.11,4,2025-01-29 04:53:00+09:00,1,2734.81,16,2025-01-28 16:33:00+09:00,1,1320,100.0
2025-01-29,2762.75,Tersedia,2755.1,Tersedia,2766.2,9,2025-01-29 09:39:00+09:00,1,2744.76,3,2025-01-30 03:25:00+09:00,1,1320,100.0
2025-01-30,2760.31,Tersedia,2793.38,Tersedia,2798.32,0,2025-01-31 00:01:00+09:00,1,2758.23,7,2025-01-30 07:05:00+09:00,1,1320,100.0
