Bulan,Frekuensi High,Frekuensi Low,Jam WIT
2025-01,2,0,0
2025-01,2,1,1
2025-01,1,0,2
2025-01,0,2,3
2025-01,4,2,4
2025-01,0,4,7
2025-01,1,1,8
2025-01,2,2,9
2025-01,0,1,10
2025-01,2,0,11
2025-01,0,2,12
2025-01,1,1,14
2025-01,0,1,16
2025-01,1,1,18
2025-01,1,0,19
2025-01,2,2,21
2025-01,0,2,22
2025-01,3,0,23
2025-02,0,1,0
2025-02,1,0,1
2025-02,0,1,2
2025-02,1,0,3
2025-02,1,1,4
2025-02,2,3,7
2025-02,3,3,9
2025-02,2,0,10
2025-02,0,1,11
2025-02,0,1,15
2025-02,0,1,16
2025-02,2,0,17
2025-02,2,0,18
2025-02,0,3,21
2025-02,2,3,22
2025-02,4,2,23
2025-03,2,0,0
2025-03,1,0,1
2025-03,0,1,2
2025-03,1,1,3
2025-03,2,0,4
2025-03,0,3,7
2025-03,1,1,8
2025-03,1,3,9
2025-03,1,2,10
2025-03,1,0,12
2025-03,0,1,13
2025-03,1,1,15
2025-03,1,0,16
2025-03,0,2,17
2025-03,2,1,18
2025-03,3,2,21
2025-03,3,1,22
2025-03,1,2,23
2025-04,1,1,1
2025-04,0,3,2
2025-04,5,1,4
2025-04,3,6,7
2025-04,1,1,8
2025-04,1,0,9
2025-04,2,1,10
2025-04,3,1,11
2025-04,1,0,13
2025-04,1,0,14
2025-04,1,0,15
2025-04,1,0,20
2025-04,0,1,21
2025-04,1,3,22
2025-04,0,3,23
2025-05,2,2,1
2025-05,1,0,2
2025-05,5,2,4
2025-05,4,2,7
2025-05,1,0,8
2025-05,2,2,9
2025-05,1,4,10
2025-05,2,1,11
2025-05,1,1,12
2025-05,1,1,15
2025-05,1,1,18
2025-05,0,1,19
2025-05,1,1,20
2025-05,0,1,21
2025-05,0,3,23
2025-06,0,1,0
2025-06,1,0,2
2025-06,2,2,4
2025-06,3,3,7
2025-06,1,1,8
2025-06,2,0,9
2025-06,1,0,10
2025-06,0,2,11
2025-06,1,0,13
2025-06,1,1,14
2025-06,0,2,15
2025-06,1,1,16
2025-06,1,0,17
2025-06,1,1,20
2025-06,1,0,21
2025-06,3,5,22
2025-06,2,2,23
2025-07,3,2,0
2025-07,0,2,1
2025-07,1,0,2
2025-07,2,1,4
2025-07,4,5,7
2025-07,2,1,9
2025-07,1,0,10
2025-07,1,1,15
2025-07,1,2,16
2025-07,2,1,17
2025-07,1,0,18
2025-07,1,1,19
2025-07,1,0,20
2025-07,2,2,21
2025-07,0,1,22
2025-07,1,4,23
2025-08,3,0,0
2025-08,2,1,1
2025-08,0,2,2
2025-08,0,1,3
2025-08,5,0,4
2025-08,3,0,7
2025-08,0,2,8
2025-08,2,3,9
2025-08,0,3,10
2025-08,0,2,11
2025-08,2,0,14
2025-08,0,1,16
2025-08,0,1,18
2025-08,1,0,19
2025-08,0,3,20
2025-08,0,1,21
2025-08,1,0,22
2025-08,2,1,23
2025-09,1,1,0
2025-09,3,0,1
2025-09,2,1,3
2025-09,3,1,4
2025-09,1,3,7
2025-09,0,1,8
2025-09,0,1,9
2025-09,1,4,10
2025-09,0,2,11
2025-09,0,2,12
2025-09,0,1,13
2025-09,1,0,14
2025-09,2,0,15
2025-09,1,0,16
2025-09,1,1,17
2025-09,2,1,18
2025-09,1,1,21
2025-09,0,2,22
2025-09,3,0,23
2025-10,3,2,0
2025-10,3,0,1
2025-10,0,2,2
2025-10,3,1,4
2025-10,3,5,7
2025-10,2,3,9
2025-10,1,0,10
2025-10,0,1,11
2025-10,0,1,12
